# Quranic Arabic Corpus - Dependency Treebank Data
# Scope: Full Quran (114 chapters, 6236 verses)
# Format: CHILD | PARENT | RELATION | ARABIC_LABEL | ENGLISH_LABEL
#
# Source: Extracted from syntax.txt in quranic-corpus.war
# Notation: CHILD -> PARENT (child depends on parent)
#
CHILD	PARENT	RELATION	ARABIC_LABEL	ENGLISH_LABEL
(1:1:1)	(1:1:1)	PP	PP	PP
(1:1:1)	(1:1:1)	gen	جار ومجرور	Prepositional phrase
(1:1:2)	(1:1:1)	poss	مضاف إليه	Possessive
(1:1:3)	(1:1:2)	adj	صفة	Adjective
(1:1:4)	(1:1:2)	adj	صفة	Adjective
(1:2:2)	(1:2:2)	PP	PP	PP
(1:2:2)	(1:2:2)	gen	جار ومجرور	Prepositional phrase
(1:2:3)	(1:2:2)	app	بدل	Apposition
(1:2:4)	(1:2:3)	poss	مضاف إليه	Possessive
(1:2:2)	(1:2:2)	gen	جار ومجرور	Prepositional phrase
(1:3:1)	(1:2:2)	adj	صفة	Adjective
(1:3:2)	(1:2:2)	adj	صفة	Adjective
(1:2:2)	(1:2:2)	gen	جار ومجرور	Prepositional phrase
(1:4:1)	(1:2:2)	app	بدل	Apposition
(1:4:2)	(1:4:1)	poss	مضاف إليه	Possessive
(1:4:3)	(1:4:2)	poss	مضاف إليه	Possessive
(1:5:1)	(1:5:2)	obj	مفعول به	Object
(1:5:3)	(1:5:4)	obj	مفعول به	Object
(1:6:1)	(1:6:1)	obj	مفعول به	Object
(1:6:2)	(1:6:1)	obj	مفعول به	Object
(1:6:3)	(1:6:2)	adj	صفة	Adjective
(1:7:4)	(1:7:4)	PP	PP	PP
(1:7:3)	(1:7:4)	VS	VS	VS
(1:7:1)	(1:6:2)	app	بدل	Apposition
(1:7:2)	(1:7:1)	poss	مضاف إليه	Possessive
(1:7:3)	(1:7:3)	subj	فاعل	Subject
(1:7:4)	(1:7:4)	gen	جار ومجرور	Prepositional phrase
(1:7:7)	(1:7:7)	PP	PP	PP
(1:7:5)	(1:7:2)	app	بدل	Apposition
(1:7:6)	(1:7:5)	poss	مضاف إليه	Possessive
(1:7:7)	(1:7:7)	gen	جار ومجرور	Prepositional phrase
(1:7:8)	(1:7:9)	emph	emph	emph
(1:7:9)	(1:7:6)	conj	معطوف	Coordinating conjunction
(2:2:5)	(2:2:5)	PP	PP	PP
(2:2:3)	(2:2:5)	NS	NS	NS
(2:2:2)	(2:2:1)	app	بدل	Apposition
(2:2:4)	(2:2:3)	subjx	اسم كان	Subject of special verb
(2:2:5)	(2:2:5)	gen	جار ومجرور	Prepositional phrase
(2:2:7)	(2:2:7)	PP	PP	PP
(2:2:6)	(2:2:1)	pred	مبتدأ وخبر	Predicate
(2:2:7)	(2:2:7)	gen	جار ومجرور	Prepositional phrase
(2:3:3)	(2:3:3)	PP	PP	PP
(2:3:2)	(2:3:5)	VS	VS	VS
(2:2:7)	(2:2:7)	gen	جار ومجرور	Prepositional phrase
(2:3:1)	(2:2:7)	adj	صفة	Adjective
(2:3:2)	(2:3:2)	subj	فاعل	Subject
(2:3:3)	(2:3:3)	gen	جار ومجرور	Prepositional phrase
(2:3:4)	(2:3:2)	conj	معطوف	Coordinating conjunction
(2:3:4)	(2:3:4)	subj	فاعل	Subject
(2:3:5)	(2:3:4)	obj	مفعول به	Object
(2:3:6)	(2:3:6)	PP	PP	PP
(2:3:7)	(2:3:7)	VS	VS	VS
(2:3:6)	(2:3:6)	gen	جار ومجرور	Prepositional phrase
(2:3:7)	(2:3:7)	subj	فاعل	Subject
(2:3:7)	(2:3:7)	obj	مفعول به	Object
(2:3:8)	(2:3:8)	subj	فاعل	Subject
(2:4:3)	(2:4:3)	PP	PP	PP
(2:4:5)	(2:4:5)	PP	PP	PP
(2:4:4)	(2:4:5)	VS	VS	VS
(2:4:2)	(2:4:5)	VS	VS	VS
(2:4:1)	(2:3:1)	conj	معطوف	Coordinating conjunction
(2:4:2)	(2:4:2)	subj	فاعل	Subject
(2:4:3)	(2:4:3)	gen	جار ومجرور	Prepositional phrase
(2:4:5)	(2:4:5)	gen	جار ومجرور	Prepositional phrase
(2:4:8)	(2:4:9)	PP	PP	PP
(2:4:7)	(2:4:9)	VS	VS	VS
(2:4:3)	(2:4:3)	gen	جار ومجرور	Prepositional phrase
(2:4:6)	(2:4:3)	conj	معطوف	Coordinating conjunction
(2:4:9)	(2:4:8)	gen	جار ومجرور	Prepositional phrase
(2:4:9)	(2:4:9)	poss	مضاف إليه	Possessive
(2:4:10)	(2:4:10)	PP	PP	PP
(2:4:12)	(2:4:12)	VS	VS	VS
(2:4:10)	(2:4:10)	gen	جار ومجرور	Prepositional phrase
(2:4:12)	(2:4:12)	subj	فاعل	Subject
(2:5:2)	(2:5:3)	PP	PP	PP
(2:5:4)	(2:5:5)	PP	PP	PP
(2:5:3)	(2:5:2)	gen	جار ومجرور	Prepositional phrase
(2:5:5)	(2:5:4)	gen	جار ومجرور	Prepositional phrase
(2:5:5)	(2:5:5)	poss	مضاف إليه	Possessive
(2:5:6)	(2:5:1)	conj	معطوف	Coordinating conjunction
(2:5:7)	(2:5:6)	emph	emph	emph
(2:5:8)	(2:5:6)	pred	مبتدأ وخبر	Predicate
(2:6:3)	(2:6:3)	VS	VS	VS
(2:6:5)	(2:6:5)	PP	PP	PP
(2:6:6)	(2:6:6)	NS	NS	NS
(2:6:2)	(2:6:1)	subjx	اسم كان	Subject of special verb
(2:6:3)	(2:6:3)	subj	فاعل	Subject
(2:6:5)	(2:6:5)	gen	جار ومجرور	Prepositional phrase
(2:6:6)	(2:6:6)	eq	eq	eq
(2:6:6)	(2:6:6)	subj	فاعل	Subject
(2:6:6)	(2:6:6)	obj	مفعول به	Object
(2:6:6)	(2:6:6)	NS	NS	NS
(2:6:6)	(2:6:6)	eq	eq	eq
(2:6:6)	(2:6:6)	subj	فاعل	Subject
(2:6:6)	(2:6:6)	obj	مفعول به	Object
(2:6:9)	(2:6:8)	neg	neg	neg
(2:6:9)	(2:6:9)	obj	مفعول به	Object
(2:6:10)	(2:6:11)	VS	VS	VS
(2:6:11)	(2:6:10)	neg	neg	neg
(2:6:11)	(2:6:11)	subj	فاعل	Subject
(2:7:3)	(2:7:4)	PP	PP	PP
(2:7:5)	(2:7:6)	PP	PP	PP
(2:7:2)	(2:7:1)	subj	فاعل	Subject
(2:7:4)	(2:7:3)	gen	جار ومجرور	Prepositional phrase
(2:7:4)	(2:7:4)	poss	مضاف إليه	Possessive
(2:7:6)	(2:7:5)	gen	جار ومجرور	Prepositional phrase
(2:7:6)	(2:7:6)	poss	مضاف إليه	Possessive
(2:7:7)	(2:7:8)	PP	PP	PP
(2:7:8)	(2:7:7)	gen	جار ومجرور	Prepositional phrase
(2:7:8)	(2:7:8)	poss	مضاف إليه	Possessive
(2:7:10)	(2:7:10)	PP	PP	PP
